run,split,failure_type,count,sample_rate
E0,test_iid,dsl_schema_error,1000,1.0
E0,test_linguistic_ood,dsl_schema_error,500,1.0
E0,test_compositional_ood,dsl_schema_error,1000,1.0
E0,test_structural_ood,dsl_schema_error,384,0.768
E0,test_structural_ood,truncated_output,91,0.182
E0,test_structural_ood,json_parse_error,25,0.05
E1,test_iid,dsl_schema_error,788,0.788
E1,test_iid,json_parse_error,33,0.033
E1,test_iid,truncated_output,8,0.008
E1,test_linguistic_ood,dsl_schema_error,408,0.816
E1,test_linguistic_ood,json_parse_error,9,0.018
E1,test_linguistic_ood,truncated_output,4,0.008
E1,test_compositional_ood,dsl_schema_error,853,0.853
E1,test_compositional_ood,json_parse_error,89,0.089
E1,test_compositional_ood,truncated_output,32,0.032
E1,test_compositional_ood,invalid_source_path,22,0.022
E1,test_compositional_ood,target_schema_error,3,0.003
E1,test_structural_ood,dsl_schema_error,438,0.876
E1,test_structural_ood,json_parse_error,51,0.102
E1,test_structural_ood,truncated_output,11,0.022
E2,test_compositional_ood,dsl_schema_error,356,0.356
E2,test_compositional_ood,invalid_source_path,60,0.06
E2,test_compositional_ood,target_schema_error,13,0.013
E2,test_compositional_ood,invalid_target_path,1,0.001
E2,test_compositional_ood,json_parse_error,1,0.001
E2,test_compositional_ood,runtime_error,1,0.001
E2,test_structural_ood,dsl_schema_error,479,0.958
E2,test_structural_ood,json_parse_error,16,0.032
E2,test_structural_ood,truncated_output,5,0.01
E3,test_iid,dsl_schema_error,515,0.515
E3,test_iid,json_parse_error,10,0.01
E3,test_iid,truncated_output,10,0.01
E3,test_iid,invalid_source_path,2,0.002
E3,test_iid,partial_value_mismatch,2,0.002
E3,test_linguistic_ood,dsl_schema_error,242,0.484
E3,test_linguistic_ood,json_parse_error,12,0.024
E3,test_linguistic_ood,truncated_output,3,0.006
E3,test_linguistic_ood,invalid_source_path,2,0.004
E3,test_compositional_ood,dsl_schema_error,829,0.829
E3,test_compositional_ood,json_parse_error,41,0.041
E3,test_compositional_ood,invalid_source_path,39,0.039
E3,test_compositional_ood,target_schema_error,7,0.007
E3,test_structural_ood,dsl_schema_error,405,0.81
E3,test_structural_ood,json_parse_error,65,0.13
E3,test_structural_ood,partial_value_mismatch,16,0.032
E3,test_structural_ood,truncated_output,14,0.028
E4,test_iid,dsl_schema_error,548,0.548
E4,test_iid,partial_value_mismatch,2,0.002
E4,test_iid,invalid_target_path,1,0.001
E4,test_linguistic_ood,dsl_schema_error,276,0.552
E4,test_compositional_ood,dsl_schema_error,862,0.862
E4,test_compositional_ood,invalid_source_path,50,0.05
E4,test_compositional_ood,target_schema_error,14,0.014
E4,test_structural_ood,dsl_schema_error,500,1.0
